Produtos,Preços,Qualidade,Críticas
"Chromebook Acer 2 Em 1 Amd Spin R721t, Touch, 4gb E 32gb Ssd",974,0,0
"Chromebook Acer 2em1 Amd Spin R721t 4gb, 32gb Ssd Touch",928,4.4,(17)
Kit Escova Limpeza Notebook Celular Teclado Fone Pc 7 Em 1,26,4.8,(190)
Kit Escova Limpeza Notebook Celular Teclado Fone Pc 7 Em 1,26,4.6,(57)
Kit Escova Limpeza Notebook Celular Teclado Fone Pc 7 Em 1,26,4.8,(190)
Kit Escova Limpeza Notebook Celular Teclado Fone Pc 7 Em 1,27,4.5,(44)
"Laptop De Escritório Com Tela Ips De 17,3 Polegadas Lpddr4 1",2.346,0,0
Notebook Acer Aspire 3 15.6 Fhd I3-n305 Ssd 256gb 8gb A315,2.399,4.9,(41)
Notebook Acer Aspire 5 A515-57-53z5 - I5 - 8gb - 256gb - W11,2.683,0,0
Notebook Acer Aspire 5 A515-57-53z5 I5 W11 8gb 256gb 15.6,2.699,4.8,(52)
"Notebook Acer Aspire 5 A515-57-57t3 I5 W11 8gb 512gb 15,6'",2.999,4.8,(25)
Notebook Acer Aspire 8gb Ram 1tb Ssd Windows 11 Oferta,3.975,0,0
Notebook Asus Vivobook 15.6 Fhd I3-n305 128gb Ssd 4gb Cinza,2.375,0,0
Notebook Asus Vivobook 15.6 Fhd I5-12450h 8gb 256gb Ssd,2.559,0,0
"Notebook Asus Vivobook Go Core I3 N305 8gb 512ssd 15,6 Fhd",2.479,3.5,(4)
Notebook Barato 8gb Ddr4 Hd 500gb 645 G3,1.192,4.2,(23)
Notebook Barato 8gb Ddr4 Hd 500gb 645 Hp Detalhes Carcaça,874,4.3,(8)
Notebook Celeron 15.6 128gb Ssd 4gb W11 82bu0006br Lenovo,2.599,4.6,(45)
Notebook Core I5 256gb 16gb Ddr4 Ssd M2 Usb-c Usb 3.0 5490,2.541,5.0,(3)
Notebook Dell 3400 I7 8ª 16gb Ssd M2 256gb + Hd 500gb Brinde,2.231,5.0,(2)
Notebook Dell 3400 I7 8ª 16gb Ssd M2 256gb + Hd 500gb Brinde,2.231,0,0
Notebook Dell 5490 - Core I5 + 16 Gb Ddr4 + 256 Gb Ssd M2,1.913,4.5,(30)
Notebook Dell 7480 Core I5 6ª Gen 8gb Ssd256gb Garantia E Nf,1.372,0,0
Notebook Dell Latitude 3490 - I5 + 16 Gb Ddr4 + 480 Gb Ssd,1.919,0,0
Notebook Dell Latitude E5480 I5 2.5ghz 8gb 256 Ssd M2,2.072,4.5,(4)
Notebook Dell Vostro 3401 I5 10ª Ger 16gb M2 256gb +hd 500gb,2.263,0,0
Notebook Gamer Acer Nitro 5 15.6 Fhd 144hz I5 Ssd 512gb 8gb,4.599,0,0
Notebook Gamer Acer Nitro 5 Fhd 8gb I5-11400h Gtx 1650 4gb,4.249,0,0
Notebook Gamer Acer Nitro V15 Fhd 8gb I5-13420h Rtx 2050,4.459,0,0
Notebook Gamer Dell I7 8ª Ger 16gb/ssd/geforce Mx130+ Win 11,2.171,4.2,(5)
Notebook Gamer Lenovo Slim 5 Ci7 16 Rtx 4050 16gb 512gb W11,8.279,0,0
Notebook Gamer Ryzen 7 R7 32gb Ssd 512gb Touch Win11 Pro T14,3.391,4.9,(11)
Notebook I7 10510 Ssd 512gb 16gb Vga Mx330 Touch Win11 T14,3.499,0,0
Notebook I7 10510u Ssd 512gb 32gb Vga Mx330 Win11 Touch T14,3.749,5.0,(1)
Notebook I7 Ssd 256gb 16gb Nvidia M3000m Win 10 Pro Tela 17,3.499,5.0,(2)
Notebook Intel Core I5 Acer Aspire 5 8gb Ram 256gb Tela 15'6,2.777,0,0
"Notebook Lenovo Gaming 3 Core I5 15,6 Gtx1650 512gb 8gb W11",4.859,0,0
"Notebook Lenovo Ideapad 1 Ci3 15,6 Intel Uhd 4gb 256gb W11",2.199,0,0
Notebook Lenovo Ideapad 1 Ci7-1255u 15.6 Xe 512gb 12gb W11,4.039,0,0
Notebook Lenovo Ideapad 12gb Memória Ram 1tb Ssd Windows 11,3.631,0,0
Notebook Lenovo Ideapad 1i I5-1235u 8gb 512gb 15.6 W11,3.269,0,0
"Notebook Lenovo Ideapad 1i I5-1235u 8gb Ram 512gb 15,6 W11",2.899,5.0,(6)
Notebook Lenovo Thinkpad T490 I5 8ª 16gb Ssd 256gb Touch Nf,2.151,0,0
Notebook Lenovo Thinkpad T490 I5 8ª 16gb Ssd 256gb Touch Nf,2.151,0,0
Notebook Positivo Master Pentium N5030 4gb 128gb W11 Pro 14',1.359,0,0
Notebook Positivo Vision C15 8gb 240gb Ssd 15 Hd Linux,1.505,4.0,(2)
Notebook Positivo Vision C15 Celeron 4gb 128gb Emmc 15 W11,1.356,4.5,(4)
Notebook Positivo Vision C15 Lumina Bar Intel 4gb 128gb Hdd,1.386,0,0
Notebook Positivo Vision I15 Core I5 Linux 16gb 512ssd-cinza,2.599,0,0
Notebook Samsung Book Go Snapdragon 4gb 128ssd W11 C/ Office,1.799,4.6,(21)
Notebook Samsung Galaxy Book Go 4gb 128gb Ufs W11 14'' Fhd,1.799,0,0
"Notebook Thikpad X250 I5 8gb Ssd240gb Tela 12,5' Garantia+nf",1.185,0,0
Notebook Vaio Fe15 Ryzen 7 Linux 32gb 512 Ssd Prata Titânio,3.649,0,0
Suporte Dobravel Portatil Para Notebook Em Aluminio Ex1013,24,0,0
